id,input,output,expected,error,metadata,tags,duration,prompt tokens,completion tokens,total tokens,Levenshtein,ExactMatch
01cd8cba-43ad-4920-9d82-b94ec7b2b0d0,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",true,true,,{},,0.00,,,,1,1
075bd7a6-d38b-4e5c-8247-35b75ad2bd23,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,true,true,,{},,0.00,,,,1,1
096a415a-b187-4ffd-be8a-3690c3efcafc,Hey leave it. not a big deal:-) take care.,true,false,,{},,0.00,,,,0.19999999999999996,0
0a319414-d36f-4449-8da3-5f558cb301c1,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,true,true,,{},,0.00,,,,1,1
0ee7cea0-5395-45fa-ac86-d85365359c9a,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,true,true,,{},,0.00,,,,1,1
0fe78916-0613-4c66-8d67-1d5dd996719d,1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+,true,true,,{},,0.00,,,,1,1
11d5fdf5-fe55-4db6-b764-8b48e9075c76,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,true,true,,{},,0.00,,,,1,1
12ea4e74-45bc-416f-afdb-1de3b4335695,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only,true,true,,{},,0.00,,,,1,1
13158770-6f65-49bd-925d-10dae555cad2,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",true,true,,{},,0.00,,,,1,1
13575067-d57d-437d-b9f6-9c5bd94e78b3,Bought one ringtone and now getting texts costing 3 pound offering more tones etc,true,true,,{},,0.00,,,,1,1
